permno,ticker,comnam
10137,,AMERICAN WATER WORKS & ELEC INC
10137,,WEST PENN ELECTRIC CO
10137,,ALLEGHENY POWER SYSTEMS INC
10137,AYP,ALLEGHENY POWER SYSTEMS INC
10137,AYP,ALLEGHENY POWER SYSTEMS INC
10137,AYE,ALLEGHENY ENERGY INC
10138,TROW,T ROWE PRICE ASSOC INC
10138,TROW,T ROWE PRICE GROUP INC
10139,ADFC,ADMIRAL FINANCIAL CORP
10140,SRCO,SEALRIGHT COMPANY INC
10141,GNDR,GANDER MOUNTAIN INC
10142,IMTC,IMTEC INC
10142,IMTC,IMTEC INC
10143,ONCS,ONCOGENE SCIENCE INC
10143,OSIP,O S I PHARMACEUTICALS INC
10144,NICE,NATIONAL INSTITUTE CAREERS INC
10145,,ALLIED CHEMICAL & DYE CORP
10145,,ALLIED CHEMICAL CORP
10145,ACD,ALLIED CHEMICAL CORP
10145,ACD,ALLIED CHEMICAL CORP
10145,ALD,ALLIED CORP
10145,ALD,ALLIED SIGNAL INC
10145,ALD,ALLIED SIGNAL INC
10145,ALD,ALLIED SIGNAL INC
10145,ALD,ALLIED SIGNAL INC
10145,HON,HONEYWELL INTERNATIONAL INC
10145,HON,HONEYWELL INTERNATIONAL INC
10145,HON,HONEYWELL INTERNATIONAL INC
10145,HON,HONEYWELL INTERNATIONAL INC
10145,HON,HONEYWELL INTERNATIONAL INC
10145,HON,HONEYWELL INTERNATIONAL INC
10146,APLI,APPLICATION ENGR CORP
10146,AECE,A E C INC
10146,AECE,A E C INC
10147,EMCS,E M C CORP MA
10147,EMC,E M C CORP MA
10147,EMC,E M C CORP MA
10148,TRAD,TRADITIONAL INDUSTRIES INC
10148,TRAD,TRADITIONAL INDUSTRIES INC
10149,EBSI,EAGLE BANCSHARES INC
10149,EBSI,EAGLE BANCSHARES INC
10150,TLII,TRANS LEASING INTL INC
10150,TLII,TRANS LEASING INTL INC
10150,TLII,TLII LIQUIDATING CORP
10151,GRV,ADVISORSHARES TRUST
10151,AGLS,ADVISORSHARES TRUST
10152,ADTI,ADVANCE DISPLAY TECHNOLOGIES INC
10153,,ALLIS CHALMERS CORP
10153,AH,ALLIS CHALMERS MFG CO
10153,AH,ALLIS CHALMERS MFG CO
10153,AH,ALLIS CHALMERS CORP
10154,AELB,AMERICAN ELECTR LABS INC
10154,AELNA,A E L INDUSTRIES INC
10155,ELGT,ELECTRIC & GAS TECHNOLOGY INC
10155,,ELECTRIC & GAS TECHNOLOGY INC
10155,ELGT,ELECTRIC & GAS TECHNOLOGY INC
10155,ELGT,ELECTRIC & GAS TECHNOLOGY INC
10156,JHSL,HANSON JOHN S & L INC
10156,JHSL,HANSON JOHN SAVINGS BANK FSB
10156,JHSL,HANSON JOHN SAVINGS BANK FSB
10156,JHSL,HANSON JOHN SAVINGS BANK FSB
10156,JHSL,HANSON JOHN BANCORP INC
10157,NSBK,NORTH SIDE SAVINGS BANK BRONX
10158,AMRC,AMERESCO INC
10158,AMRC,AMERESCO INC
10158,AMRC,AMERESCO INC
10158,AMRC,AMERESCO INC
10159,ICTX,INTERFERENCE CONTROL TECHS IND
10159,ICTX,INTERFERENCE CONTROL TECHS IND
10160,SAND,SANDSPORT DATA SERVICES INC
10160,SAND,SANDATA INC
10160,SANDV,SANDATA INC
10160,SAND,SANDATA INC
10160,SAND,SANDATA INC
10160,SAND,SANDATA TECHNOLOGIES
10161,,AMERICAN METAL LTD
10161,,AMERICAN METAL CLIMAX INC
10161,AMX,AMERICAN METAL CLIMAX INC
10161,AMX,AMERICAN METAL CLIMAX INC
10161,AMX,AMAX INC
10162,AEST,A E S TECHNOLOGY SYSTEMS INC
10163,XRIT,X RITE INC
10164,CAAN,CAMBRIDGE ANALYTICAL ASSOC INC
10164,CAAN,CAMBRIDGE ANALYTICAL ASSOC INC
10165,LBNK,LAFAYETTE BANCORP INC
10166,LLEC,LONG LAKE ENERGY CORP
10167,EVIAA,ENCHANTED VILLAGE INC
10167,EVAA,ENCHANTED VILLAGE INC
10168,ARNX,ARNOX CORP
10169,PADS,SPORTS MARKETING INC
10170,RYFL,FAMILY STEAK HOUSES FL INC
10170,RYFL,FAMILY STEAK HOUSES FL INC
10171,CTWL,CHARTWELL GROUP LTD
10172,GNTE,GRANITE COOP BK NORTH QUINCY MA
10172,GNTE,GRANITE COOP BK NORTH QUINCY MA
10172,,GRANITE COOP BK NORTH QUINCY MA
10172,GNTE,GRANITE COOP BK NORTH QUINCY MA
10173,SEAB,SEABOARD SAVINGS & L ASSN VA BCH
10173,SEAB,SEABOARD SAVINGS & L ASSN VA BCH
10173,SEAB,SEABOARD BANCORP INC
10174,JNBK,JEFFERSON NATIONAL BANK NY
10175,BARY,BARRYS JEWELERS INC
10175,BARY,BARRYS JEWELERS INC
10175,BARY,BARRYS JEWELERS INC
10176,TECC,THERMAL EXPLORATION CO
10177,SFNS,INVESTMENT RES & TECHNOLOGY INC
10177,SFNS,SPEAR FINANCIAL SERVICES INC
10177,JMCG,SPEAR FINANCIAL SERVICES INC
10177,JMCG,J M C GROUP INC
10177,JMCG,J M C GROUP INC
10177,FEDM,FECHTOR DETWILER MITCHELL & CO
10177,DMCO,DETWILER MITCHELL & CO
10178,WPGI,WESTERN PUBLISHING GROUP INC
10178,GBFE,GOLDEN BOOKS FAMILY ENT INC
10179,RCSB,ROCHESTER COMMUNITY SVGS BK NY
10179,RCSB,R C S B FINANCIAL INC
10180,AKRN,AKORN INC
10180,AKRN,AKORN INC
10180,AKRN,AKORN INC
10180,AKRN,AKORN INC
10180,,AKORN INC
10180,AKN,AKORN INC
10180,AKRX,AKORN INC
10181,MUNI,MUNICIPAL DEVELOPMENT CORP
10182,TECD,TECH DATA CORP
10182,TECD,TECH DATA CORP
10183,ERCO,E R C INDUSTRIES INC
10184,ALFE,ALFA INTERNATIONAL CORP
10185,MRLL,MERRILL CORP
10186,SWCC,SOUTHWEST CAPITAL CORP
10187,HPLX,HEALTHPLEX INC
10187,HPLX,HEALTHPLEX INC
10188,,AMERICAN BOSCH MAGNETO CORP
10188,,UNITED AMERICAN BOSCH CORP
10188,,AMERICAN BOSCH CORP
10188,,AMERICAN BOSCH ARMA CORP
10188,AB,AMERICAN BOSCH ARMA CORP
10188,AB,AMBAC INDUSTRIES INC
10189,AFAP,A F A PROTECTIVE SYSTEMS INC
10190,CLRX,COLOROCS CORP
10191,TXEL,TEXCEL INTERNATIONAL INC
10191,TXEL,TEXCEL INTERNATIONAL INC
10192,MSCA,M S CARRIERS INC
10193,RBCN,RUBICON CORP
10193,,RUBICON CORP
10193,RBCN,RUBICON CORP
10193,OSPY,OSPREY HOLDING INC
10194,SOMR,SOMERSET GROUP INC
10194,SOMR,SOMERSET GROUP INC
10195,CTEXB,C TEC CORP
10195,CTCOB,COMMONWEALTH TELE ENTRPS INC
10196,,AMERICAN & FGN PWR INC
10196,AF,AMERICAN & FGN PWR INC
10197,,A F C O A
10198,DELA,DEL PAINT CORP
10199,ARBR,ARBOR DRUGS INC
10200,RGEN,REPLIGEN CORP
10200,RGEN,REPLIGEN CORP
10201,AT,ATLANTIC POWER CORP
10201,AT,ATLANTIC POWER CORP
